system   D            wsystem.c:583  maybe_parent_dir                 [   0.00072] Also searching C:\Users\Mr. Mojo Risin\Documents\Visual Studio 2012\Projects\Project2\
display  D   display_settings.c:191  debug_display_settings           [   0.58898] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58901] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58903] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58907] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58909] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58912] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58914] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.58917] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.58920] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58923] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58925] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58928] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58931] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.58934] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.58936] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58939] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58941] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58945] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58947] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.58950] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.58952] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58956] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58958] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58965] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58968] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
